id,item_group_id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,color,quantity_to_sell_on_facebook,google_product_category
eye-jacket-45|preto,eye-jacket-45,Oakley Eye Jacket Redux - Preto,"Lançado em 1996, o Eye Jacket foi um dos modelos que definiu a estética esportiva da Oakley nos anos 90, com sua lente envolvente e visual futurista. Rapidamente virou item de estilo fora das pistas, adotado pela cena rave e pelo streetwear da época. Essa versão ""Redux"" resgata a silhueta original com acabamento atualizado.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-eye-jacket-redux?cor=preto,https://rumorlupas.com/images/products/eye-jacket-45/preto/1.jpeg,"https://rumorlupas.com/images/products/eye-jacket-45/preto/2.jpeg,https://rumorlupas.com/images/products/eye-jacket-45/preto/3.jpeg,https://rumorlupas.com/images/products/eye-jacket-45/preto/4.jpeg",Oakley,Preto,3,178
eye-jacket-45|bege-piet-lente-dourada,eye-jacket-45,Oakley Eye Jacket Redux - Bege PIET · lente dourada,"Lançado em 1996, o Eye Jacket foi um dos modelos que definiu a estética esportiva da Oakley nos anos 90, com sua lente envolvente e visual futurista. Rapidamente virou item de estilo fora das pistas, adotado pela cena rave e pelo streetwear da época. Essa versão ""Redux"" resgata a silhueta original com acabamento atualizado.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-eye-jacket-redux?cor=bege-piet-lente-dourada,https://rumorlupas.com/images/products/eye-jacket-45/bege-piet-lente-dourada/1.jpeg,"https://rumorlupas.com/images/products/eye-jacket-45/bege-piet-lente-dourada/2.jpeg,https://rumorlupas.com/images/products/eye-jacket-45/bege-piet-lente-dourada/3.jpeg,https://rumorlupas.com/images/products/eye-jacket-45/bege-piet-lente-dourada/4.jpeg",Oakley,Bege PIET · lente dourada,1,178
eye-jacket-45|bege-piet-lente-preta,eye-jacket-45,Oakley Eye Jacket Redux - Bege PIET · lente preta,"Lançado em 1996, o Eye Jacket foi um dos modelos que definiu a estética esportiva da Oakley nos anos 90, com sua lente envolvente e visual futurista. Rapidamente virou item de estilo fora das pistas, adotado pela cena rave e pelo streetwear da época. Essa versão ""Redux"" resgata a silhueta original com acabamento atualizado.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-eye-jacket-redux?cor=bege-piet-lente-preta,https://rumorlupas.com/images/products/eye-jacket-45/bege-piet-lente-preta/1.jpeg,"https://rumorlupas.com/images/products/eye-jacket-45/bege-piet-lente-preta/2.jpeg,https://rumorlupas.com/images/products/eye-jacket-45/bege-piet-lente-preta/3.jpeg,https://rumorlupas.com/images/products/eye-jacket-45/bege-piet-lente-preta/4.jpeg",Oakley,Bege PIET · lente preta,1,178
eye-jacket|preta-brain-dead-lente-azul,eye-jacket,Oakley Eye Jacket - Preta BRAIN DEAD · lente azul,"O Eye Jacket original, de 1996 — a silhueta que a versão Redux veio resgatar. Lente envolvente, armação estreita e um desenho que passou da cena rave dos anos 90 para o streetwear de hoje sem precisar de retoques. Esta unidade é da colaboração com a Brain Dead.",in stock,new,59.00 EUR,https://rumorlupas.com/lupas/oakley-eye-jacket?cor=preta-brain-dead-lente-azul,https://rumorlupas.com/images/products/eye-jacket/preta-brain-dead-lente-azul/1.jpeg,"https://rumorlupas.com/images/products/eye-jacket/preta-brain-dead-lente-azul/2.jpeg,https://rumorlupas.com/images/products/eye-jacket/preta-brain-dead-lente-azul/3.jpeg,https://rumorlupas.com/images/products/eye-jacket/preta-brain-dead-lente-azul/4.jpeg",Oakley,Preta BRAIN DEAD · lente azul,1,178
plantaris-50|preto,plantaris-50,Oakley Plantaris - Preto,"O Plantaris representa a leitura mais recente da Oakley sobre o formato wrap clássico da marca, com maior cobertura lateral e um encaixe pensado tanto para performance quanto para o dia a dia. Une a herança esportiva da marca a um visual mais contemporâneo.",out of stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-plantaris?cor=preto,https://rumorlupas.com/images/products/plantaris-50/preto/1.jpeg,"https://rumorlupas.com/images/products/plantaris-50/preto/2.jpeg,https://rumorlupas.com/images/products/plantaris-50/preto/3.jpeg,https://rumorlupas.com/images/products/plantaris-50/preto/4.jpeg,https://rumorlupas.com/images/products/plantaris-50/preto/model.jpeg",Oakley,Preto,0,178
juliet-45|prata-lente-preta,juliet-45,Oakley Juliet - Prata · lente preta,"A Juliet integra a lendária linha X-Metal da Oakley, lançada no fim dos anos 90 e batizada em referência ao desenho técnico das lentes. Com armação metálica e visual arrojado, tornou-se peça cult no automobilismo e no streetwear, sendo um dos modelos mais colecionados da marca até hoje.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-juliet?cor=prata-lente-preta,https://rumorlupas.com/images/products/juliet-45/prata-lente-preta/1.jpeg,"https://rumorlupas.com/images/products/juliet-45/prata-lente-preta/2.jpeg,https://rumorlupas.com/images/products/juliet-45/prata-lente-preta/3.jpeg,https://rumorlupas.com/images/products/juliet-45/prata-lente-preta/4.jpeg",Oakley,Prata · lente preta,4,178
juliet-45|prata-lente-espelhada,juliet-45,Oakley Juliet - Prata · lente espelhada,"A Juliet integra a lendária linha X-Metal da Oakley, lançada no fim dos anos 90 e batizada em referência ao desenho técnico das lentes. Com armação metálica e visual arrojado, tornou-se peça cult no automobilismo e no streetwear, sendo um dos modelos mais colecionados da marca até hoje.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-juliet?cor=prata-lente-espelhada,https://rumorlupas.com/images/products/juliet-45/prata-lente-espelhada/1.jpeg,"https://rumorlupas.com/images/products/juliet-45/prata-lente-espelhada/2.jpeg,https://rumorlupas.com/images/products/juliet-45/prata-lente-espelhada/3.jpeg,https://rumorlupas.com/images/products/juliet-45/prata-lente-espelhada/4.jpeg",Oakley,Prata · lente espelhada,1,178
juliet-45|prata-lente-azul,juliet-45,Oakley Juliet - Prata · lente azul,"A Juliet integra a lendária linha X-Metal da Oakley, lançada no fim dos anos 90 e batizada em referência ao desenho técnico das lentes. Com armação metálica e visual arrojado, tornou-se peça cult no automobilismo e no streetwear, sendo um dos modelos mais colecionados da marca até hoje.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-juliet?cor=prata-lente-azul,https://rumorlupas.com/images/products/juliet-45/prata-lente-azul/1.jpeg,"https://rumorlupas.com/images/products/juliet-45/prata-lente-azul/2.jpeg,https://rumorlupas.com/images/products/juliet-45/prata-lente-azul/3.jpeg,https://rumorlupas.com/images/products/juliet-45/prata-lente-azul/4.jpeg",Oakley,Prata · lente azul,2,178
juliet-45|prata-lente-roxa,juliet-45,Oakley Juliet - Prata · lente roxa,"A Juliet integra a lendária linha X-Metal da Oakley, lançada no fim dos anos 90 e batizada em referência ao desenho técnico das lentes. Com armação metálica e visual arrojado, tornou-se peça cult no automobilismo e no streetwear, sendo um dos modelos mais colecionados da marca até hoje.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-juliet?cor=prata-lente-roxa,https://rumorlupas.com/images/products/juliet-45/prata-lente-roxa/1.jpeg,"https://rumorlupas.com/images/products/juliet-45/prata-lente-roxa/2.jpeg,https://rumorlupas.com/images/products/juliet-45/prata-lente-roxa/3.jpeg,https://rumorlupas.com/images/products/juliet-45/prata-lente-roxa/4.jpeg",Oakley,Prata · lente roxa,2,178
juliet-45|cinza-escura-espelhada,juliet-45,Oakley Juliet - Cinza escura · lente espelhada,"A Juliet integra a lendária linha X-Metal da Oakley, lançada no fim dos anos 90 e batizada em referência ao desenho técnico das lentes. Com armação metálica e visual arrojado, tornou-se peça cult no automobilismo e no streetwear, sendo um dos modelos mais colecionados da marca até hoje.",in stock,new,49.00 EUR,https://rumorlupas.com/lupas/oakley-juliet?cor=cinza-escura-espelhada,https://rumorlupas.com/images/products/juliet-45/cinza-escura-espelhada/1.jpeg,"https://rumorlupas.com/images/products/juliet-45/cinza-escura-espelhada/2.jpeg,https://rumorlupas.com/images/products/juliet-45/cinza-escura-espelhada/3.jpeg,https://rumorlupas.com/images/products/juliet-45/cinza-escura-espelhada/4.jpeg",Oakley,Cinza escura · lente espelhada,3,178
